crop,x,y,w,h
0,28,1878,77,77
1,22,1678,77,77
2,83,1776,77,77
3,144,1874,77,77
4,16,1478,77,77
5,77,1577,77,77
6,138,1675,77,77
7,198,1773,77,77
8,259,1871,77,77
9,320,1969,77,77
10,10,1279,77,77
11,71,1377,77,77
12,132,1475,77,77
13,192,1573,77,77
14,253,1671,77,77
15,314,1769,77,77
16,374,1868,77,77
17,435,1966,77,77
18,4,1079,77,77
19,65,1177,77,77
20,126,1275,77,77
21,186,1373,77,77
22,247,1471,77,77
23,308,1570,77,77
24,368,1668,77,77
25,429,1766,77,77
26,490,1864,77,77
27,550,1962,77,77
28,59,977,77,77
29,120,1075,77,77
30,180,1174,77,77
31,241,1272,77,77
32,302,1370,77,77
33,362,1468,77,77
34,423,1566,77,77
35,484,1664,77,77
36,544,1762,77,77
37,605,1861,77,77
38,666,1959,77,77
39,53,777,77,77
40,114,876,77,77
41,174,974,77,77
42,235,1072,77,77
43,296,1170,77,77
44,356,1268,77,77
45,417,1366,77,77
46,478,1465,77,77
47,538,1563,77,77
48,599,1661,77,77
49,660,1759,77,77
50,720,1857,77,77
51,781,1955,77,77
52,47,578,77,77
53,108,676,77,77
54,168,774,77,77
55,229,872,77,77
56,290,970,77,77
57,350,1068,77,77
58,411,1167,77,77
59,472,1265,77,77
60,532,1363,77,77
61,593,1461,77,77
62,654,1559,77,77
63,714,1657,77,77
64,775,1756,77,77
65,836,1854,77,77
66,896,1952,77,77
67,41,378,77,77
68,102,476,77,77
69,162,574,77,77
70,223,672,77,77
71,284,771,77,77
72,344,869,77,77
73,405,967,77,77
74,466,1065,77,77
75,526,1163,77,77
76,587,1261,77,77
77,648,1359,77,77
78,708,1458,77,77
79,769,1556,77,77
80,830,1654,77,77
81,890,1752,77,77
82,951,1850,77,77
83,1012,1948,77,77
84,35,178,77,77
85,96,276,77,77
86,156,374,77,77
87,217,473,77,77
88,278,571,77,77
89,338,669,77,77
90,399,767,77,77
91,460,865,77,77
92,520,963,77,77
93,581,1062,77,77
94,642,1160,77,77
95,702,1258,77,77
96,763,1356,77,77
97,824,1454,77,77
98,884,1552,77,77
99,945,1650,77,77
100,1006,1749,77,77
101,1066,1847,77,77
102,1127,1945,77,77
103,90,77,77,77
104,150,175,77,77
105,211,273,77,77
106,272,371,77,77
107,332,469,77,77
108,393,567,77,77
109,454,665,77,77
110,514,764,77,77
111,575,862,77,77
112,636,960,77,77
113,696,1058,77,77
114,757,1156,77,77
115,818,1254,77,77
116,878,1353,77,77
117,939,1451,77,77
118,1000,1549,77,77
119,1060,1647,77,77
120,1121,1745,77,77
121,1182,1843,77,77
122,1242,1941,77,77
123,205,73,77,77
124,266,171,77,77
125,326,269,77,77
126,387,368,77,77
127,448,466,77,77
128,508,564,77,77
129,569,662,77,77
130,630,760,77,77
131,690,858,77,77
132,751,956,77,77
133,812,1055,77,77
134,872,1153,77,77
135,933,1251,77,77
136,994,1349,77,77
137,1054,1447,77,77
138,1115,1545,77,77
