crop,x,y,w,h
0,55,1839,77,77
1,115,1938,77,77
2,50,1639,77,77
3,110,1738,77,77
4,170,1836,77,77
5,230,1935,77,77
6,45,1440,77,77
7,105,1538,77,77
8,165,1637,77,77
9,225,1735,77,77
10,285,1834,77,77
11,345,1932,77,77
12,40,1240,77,77
13,100,1338,77,77
14,160,1437,77,77
15,220,1535,77,77
16,281,1634,77,77
17,341,1732,77,77
18,401,1831,77,77
19,461,1929,77,77
20,35,1040,77,77
21,96,1138,77,77
22,156,1237,77,77
23,216,1336,77,77
24,276,1434,77,77
25,336,1533,77,77
26,396,1631,77,77
27,456,1730,77,77
28,516,1828,77,77
29,576,1927,77,77
30,31,840,77,77
31,91,939,77,77
32,151,1037,77,77
33,211,1136,77,77
34,271,1234,77,77
35,331,1333,77,77
36,391,1431,77,77
37,451,1530,77,77
38,511,1628,77,77
39,571,1727,77,77
40,631,1825,77,77
41,691,1924,77,77
42,26,640,77,77
43,86,739,77,77
44,146,837,77,77
45,206,936,77,77
46,266,1034,77,77
47,326,1133,77,77
48,386,1231,77,77
49,446,1330,77,77
50,506,1428,77,77
51,567,1527,77,77
52,627,1626,77,77
53,687,1724,77,77
54,747,1823,77,77
55,807,1921,77,77
56,21,441,77,77
57,81,539,77,77
58,141,638,77,77
59,201,736,77,77
60,261,835,77,77
61,321,933,77,77
62,382,1032,77,77
63,442,1130,77,77
64,502,1229,77,77
65,562,1327,77,77
66,622,1426,77,77
67,682,1524,77,77
68,742,1623,77,77
69,802,1721,77,77
70,862,1820,77,77
71,922,1918,77,77
72,16,241,77,77
73,76,339,77,77
74,136,438,77,77
75,196,536,77,77
76,257,635,77,77
77,317,733,77,77
78,377,832,77,77
79,437,930,77,77
80,497,1029,77,77
81,557,1127,77,77
82,617,1226,77,77
83,677,1324,77,77
84,737,1423,77,77
85,797,1521,77,77
86,857,1620,77,77
87,917,1718,77,77
88,977,1817,77,77
89,1038,1916,77,77
90,11,41,77,77
91,72,140,77,77
92,132,238,77,77
93,192,337,77,77
94,252,435,77,77
95,312,534,77,77
96,372,632,77,77
97,432,731,77,77
98,492,829,77,77
99,552,928,77,77
100,612,1026,77,77
101,672,1125,77,77
102,732,1223,77,77
103,792,1322,77,77
104,853,1420,77,77
105,913,1519,77,77
106,973,1617,77,77
107,1033,1716,77,77
108,1093,1814,77,77
109,1153,1913,77,77
110,127,38,77,77
111,187,137,77,77
112,247,235,77,77
113,307,334,77,77
114,367,432,77,77
115,427,531,77,77
116,487,629,77,77
117,547,728,77,77
118,607,826,77,77
119,667,925,77,77
120,728,1023,77,77
121,788,1122,77,77
122,848,1220,77,77
123,908,1319,77,77
124,968,1417,77,77
125,1028,1516,77,77
126,1088,1614,77,77
127,1148,1713,77,77
128,1208,1811,77,77
129,1268,1910,77,77
130,242,35,77,77
131,302,134,77,77
132,362,232,77,77
133,422,331,77,77
134,482,430,77,77
135,543,528,77,77
136,603,627,77,77
137,663,725,77,77
138,723,824,77,77
139,783,922,77,77
140,843,1021,77,77
141,903,1119,77,77
142,963,1218,77,77
143,1023,1316,77,77
144,1083,1415,77,77
145,1143,1513,77,77
146,1203,1612,77,77
147,1263,1710,77,77
148,1323,1809,77,77
149,1384,1907,77,77
150,358,33,77,77
151,418,131,77,77
152,478,230,77,77
153,538,328,77,77
154,598,427,77,77
155,658,525,77,77
156,718,624,77,77
157,778,722,77,77
158,838,821,77,77
159,898,919,77,77
160,958,1018,77,77
161,1018,1116,77,77
162,1078,1215,77,77
163,1138,1313,77,77
164,1199,1412,77,77
165,1259,1510,77,77
166,1319,1609,77,77
167,1379,1707,77,77
168,1439,1806,77,77
169,1499,1904,77,77
170,473,30,77,77
171,533,128,77,77
172,593,227,77,77
173,653,325,77,77
174,713,424,77,77
175,773,522,77,77
176,833,621,77,77
177,893,720,77,77
178,953,818,77,77
179,1014,917,77,77
180,1074,1015,77,77
181,1134,1114,77,77
182,1194,1212,77,77
183,1254,1311,77,77
184,1314,1409,77,77
185,1374,1508,77,77
186,1434,1606,77,77
187,1494,1705,77,77
188,1554,1803,77,77
189,1614,1902,77,77
190,588,27,77,77
191,648,126,77,77
192,708,224,77,77
193,768,323,77,77
194,829,421,77,77
195,889,520,77,77
196,949,618,77,77
197,1009,717,77,77
198,1069,815,77,77
199,1129,914,77,77
200,1189,1012,77,77
201,1249,1111,77,77
202,1309,1209,77,77
203,1369,1308,77,77
204,1429,1406,77,77
205,1489,1505,77,77
206,1549,1603,77,77
207,1609,1702,77,77
208,1670,1800,77,77
209,1730,1899,77,77
210,704,24,77,77
211,764,123,77,77
212,824,221,77,77
213,884,320,77,77
214,944,418,77,77
215,1004,517,77,77
216,1064,615,77,77
217,1124,714,77,77
218,1184,812,77,77
219,1244,911,77,77
220,1304,1010,77,77
221,1364,1108,77,77
222,1424,1207,77,77
223,1485,1305,77,77
224,1545,1404,77,77
225,1605,1502,77,77
226,1665,1601,77,77
227,1725,1699,77,77
228,1785,1798,77,77
229,1845,1896,77,77
230,819,22,77,77
231,879,120,77,77
232,939,219,77,77
233,999,317,77,77
234,1059,416,77,77
235,1119,514,77,77
236,1179,613,77,77
237,1239,711,77,77
238,1300,810,77,77
239,1360,908,77,77
240,1420,1007,77,77
241,1480,1105,77,77
242,1540,1204,77,77
243,1600,1302,77,77
244,1660,1401,77,77
245,1720,1499,77,77
246,1780,1598,77,77
247,1840,1696,77,77
248,1900,1795,77,77
249,1960,1893,77,77
250,934,19,77,77
251,994,117,77,77
252,1054,216,77,77
253,1115,314,77,77
254,1175,413,77,77
255,1235,511,77,77
256,1295,610,77,77
257,1355,708,77,77
258,1415,807,77,77
259,1475,905,77,77
260,1535,1004,77,77
261,1595,1102,77,77
262,1655,1201,77,77
263,1715,1300,77,77
264,1775,1398,77,77
265,1835,1497,77,77
266,1895,1595,77,77
267,1956,1694,77,77
268,1050,16,77,77
269,1110,115,77,77
270,1170,213,77,77
271,1230,312,77,77
272,1290,410,77,77
273,1350,509,77,77
274,1410,607,77,77
275,1470,706,77,77
276,1530,804,77,77
277,1590,903,77,77
278,1650,1001,77,77
279,1710,1100,77,77
280,1771,1198,77,77
281,1831,1297,77,77
282,1891,1395,77,77
283,1951,1494,77,77
284,1165,13,77,77
285,1225,112,77,77
286,1285,210,77,77
287,1345,309,77,77
288,1405,407,77,77
289,1465,506,77,77
290,1525,604,77,77
291,1585,703,77,77
292,1646,801,77,77
293,1706,900,77,77
294,1766,998,77,77
295,1826,1097,77,77
296,1886,1195,77,77
297,1946,1294,77,77
298,1280,11,77,77
299,1340,109,77,77
300,1400,208,77,77
301,1461,306,77,77
302,1521,405,77,77
303,1581,503,77,77
304,1641,602,77,77
305,1701,700,77,77
306,1761,799,77,77
307,1821,897,77,77
308,1881,996,77,77
309,1941,1094,77,77
310,1396,8,77,77
311,1456,106,77,77
312,1516,205,77,77
313,1576,303,77,77
314,1636,402,77,77
315,1696,500,77,77
316,1756,599,77,77
317,1816,697,77,77
318,1876,796,77,77
319,1936,894,77,77
320,1511,5,77,77
321,1571,104,77,77
322,1631,202,77,77
323,1691,301,77,77
324,1751,399,77,77
325,1811,498,77,77
326,1871,596,77,77
327,1932,695,77,77
328,1626,2,77,77
329,1686,101,77,77
330,1747,199,77,77
331,1807,298,77,77
332,1867,396,77,77
333,1927,495,77,77
334,1802,98,77,77
335,1862,196,77,77
336,1922,295,77,77
337,1917,95,77,77
